zone,pheno_year,SOS,EOS,LOS,peak_doy,peak_ndvi,baseline_ndvi,amplitude,integrated_NDVI,pre_sos_rain_mm,season_rain_mm,mean_LST_Day,mean_LST_Night,mean_DTR,mean_ET,mean_ET_stress,annual_GPP,annual_PsnNet,mean_NDWI,mean_NDMI,mean_EVI
Others,2001,55,354,299,219,0.9131450620045763,0.6497087378640778,0.26343632414049856,271.34730969728435,653.1024801414854,11568.214630716848,31.788879027777533,21.65830199081538,9.906682466649151,23.66958904109589,0.5803186455756684,14716.949999999999,4408.849999999999,-0.6783272455565038,0.243075217474847,0.42968243117205035
Others,2002,54,361,307,216,0.8852076315223233,0.6807940956517899,0.20441353587053335,281.5327828160919,603.816957699157,11320.877187502898,30.919309716303655,21.1448033037482,9.785066592469635,23.11287671232877,0.6166807201464302,16173.850000000002,5743.625000000002,-0.7026202298845465,0.27472123279980987,0.4569676950570921
Others,2003,70,363,293,200,0.9355132334851635,0.6057026476578411,0.32981058582732237,263.7893725151187,839.8722945658733,11764.319516454709,30.517122689255693,21.264052649955083,9.495458692243519,21.650684931506852,0.603338780503192,14496.900000000001,5688.950000000001,-0.6594829828981595,0.27112316561826955,0.42428905506758663
Others,2004,53,347,294,207,0.91359435566006,0.637570522120557,0.276023833539503,276.63117421325603,890.6994950184915,8624.53710497619,32.04317637412189,21.628131510031317,10.011091607941845,23.25027397260274,0.6202302541297394,15767.25,5881.0,-0.6915651625150125,0.2755368203093663,0.46095583954357555
Others,2005,54,353,299,128,0.864485271320371,0.6308305274510718,0.2336547438692992,279.0608869870394,876.7067999099444,6581.399285696897,30.969589753795578,21.04337593997872,10.052504411089178,23.516643835616442,0.5994538608976083,15645.800000000001,5517.049999999999,-0.6953952275746856,0.26155884039109767,0.4620506914957372
Others,2006,78,361,283,184,0.8791833077832085,0.6460176991150444,0.23316560866816416,275.25505222179436,542.6998511570816,12726.772523239382,30.778766549761816,21.474232731662248,9.352953122002663,24.35157534246575,0.6576118642813683,16570.4,7077.150000000001,-0.6944578005560429,0.261846165208375,0.45197124127867416
Others,2007,63,361,298,216,0.9161301780140774,0.648754394149055,0.26737578386502237,279.1825882368268,691.719395924237,13211.112019310338,31.041898372409744,21.212593582191552,9.68755732862193,24.820684931506854,0.6264970473528493,16499.0,7064.000000000001,-0.6953269760672544,0.2476876016095716,0.44982711618795446
Others,2008,38,331,293,234,0.8639353952583104,0.6475681162186853,0.21636727903962516,276.73227847723945,541.4285217696813,11970.501895059304,32.53694235044349,22.49489945255405,10.03248051552913,24.632328767123287,0.6267479382134822,16268.849999999999,5645.150000000001,-0.6894594542725889,0.25618576550831934,0.4691787360402237
Others,2009,85,365,280,192,0.865954754742374,0.5742268499735765,0.2917279047687975,265.5743180011866,392.872585948055,8722.74723969095,31.53956766969233,21.380308054902404,10.26417085399043,22.04054794520548,0.5857959647247254,13650.774999999998,4733.9,-0.6687544424686277,0.2455391816568311,0.43135260067997316
Others,2010,63,365,302,216,0.876246980816097,0.6179431686647501,0.2583038121513469,277.8184870243531,460.6686663546685,8715.268477671467,31.952259061130842,21.996106809322153,9.831449915077757,23.906438356164383,0.6046002021786516,15862.900000000001,6099.150000000001,-0.6921534635823885,0.2645637300340815,0.4642095710290312
Others,2011,48,360,312,208,0.8767302983976775,0.6393181627025888,0.23741213569508868,280.4910521611609,717.2453553564771,8241.732900645142,30.656041794138382,21.723671288139318,8.934078024698312,25.595479452054796,0.6274436923231697,16810.1,6770.950000000001,-0.7017701336633743,0.2695166602389336,0.455853853429244
Others,2012,61,365,304,231,0.8924987098859608,0.6465313231307307,0.2459673867552301,271.13311306811727,847.5681928602057,6702.496194107987,32.44847910147818,21.870419777003107,10.3610939096721,20.56958904109589,0.536008872157385,13962.3,3495.000000000001,-0.6775085567034183,0.2619135746188604,0.4538907891934891
Others,2013,63,361,298,208,0.9073137903138162,0.6274095319974322,0.279904258316384,281.3024147628936,579.3952312218054,12374.32229037247,30.73646990900504,21.687231724834383,9.119367231529223,23.456575342465758,0.5858634053632289,16493.15,7404.5999999999985,-0.7012430102629068,0.2477319785308401,0.46195973755928693
Others,2014,62,345,283,200,0.9241776008372593,0.6927246935217232,0.23145290731553614,283.6823969155589,294.3864297343596,5851.064314639854,31.354420227235916,21.498242098489413,9.867811425189867,20.036027397260277,0.49094866026945605,13365.250000000002,1361.3999999999996,-0.7076015354757234,0.2810508560183862,0.4511482607120769
Others,2015,63,360,297,232,0.8777987873733337,0.6564622991582107,0.22133648821512297,280.7384530201231,984.2705882143376,9971.24679078066,31.650207676655583,21.607276234010435,9.852634686130127,25.146027397260273,0.6210060501728886,16484.6,6030.1,-0.6980882196785835,0.2632704039569614,0.4673064095689207
